   n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, radix_cmp, radix_swaps, radix_time
 258,         16665,           16412,          17809,         33153,             248,          10254,      3191,         722,       1684,      1740,           0,        943,       258,           0,        715
 259,         16796,           16542,          16445,         33411,             252,          10202,      3073,         752,       1616,      1754,           0,        929,       259,           0,        615
 260,         16854,           16599,          16423,         33670,             253,          10703,      3092,         767,       1647,      1748,           0,        933,       260,           0,        608
 261,         17113,           16857,          16874,         33930,             257,          10333,      3226,         775,       1697,      1759,           0,        936,       261,           0,        619
 262,         17342,           17085,          16777,         34191,             257,          10921,      3237,         763,       1698,      1776,           0,        949,       262,           0,        627
 263,         17597,           17339,          17123,         34453,             257,          10647,      3242,         781,       1712,      1785,           0,        952,       263,           0,        619
 264,         17803,           17544,          17311,         34716,             256,          10718,      3127,         788,       1661,      1796,           0,        957,       264,           0,        625
 265,         17876,           17616,          17467,         34980,             256,          11095,      3262,         764,       1706,      1803,           0,        952,       265,           0,        627
 266,         17925,           17664,          18837,         35245,             260,          11168,      3281,         764,       1715,      1804,           0,        955,       266,           0,        633
 267,         18047,           17785,          17769,         35511,             257,          10832,      3211,         805,       1721,      1823,           0,        970,       267,           0,        634
 268,         18259,           17996,          17901,         35778,             264,          10722,      3206,         812,       1789,      1816,           0,        935,       268,           0,        614
 269,         18350,           18086,          18590,         36046,             264,          10896,      3146,         790,       1657,      1826,           0,        967,       269,           0,        637
 270,         18510,           18245,          18011,         36315,             265,          11382,      3108,         787,       1790,      1847,           0,       1513,       270,           0,        824
 271,         18687,           18421,          18550,         36585,             267,          11234,      3305,         811,       1953,      1848,           0,        950,       271,           0,        624
 272,         18949,           18682,          19916,         36856,             264,          11653,      3401,         782,       1783,      1868,           0,       1069,       272,           0,        668
 273,         18988,           18720,          19221,         37128,             268,          11922,      3637,         774,       1830,      1876,           0,        969,       273,           0,        627
 274,         19048,           18779,          18558,         37401,             267,          11430,      3370,         843,       1733,      1879,           0,       1176,       274,           0,        673
 275,         19146,           18876,          18491,         37675,             266,          11571,      3222,         798,       1673,      1889,           0,       1050,       275,           0,        725
 276,         19338,           19067,          19642,         37950,             271,          11787,      3321,         823,       1782,      1895,           0,       1266,       276,           0,        663
 277,         19443,           19171,          20013,         38226,             271,          21910,      3378,         835,       4507,      1907,           0,       2136,       277,           0,       1297
 278,         19464,           19191,          44629,         38503,             273,          31370,      3453,         847,      13716,      1905,           0,       2173,       278,           0,       1363
 279,         19523,           19249,          28411,         38781,             271,          27837,      3355,         809,       3385,      1914,           0,       1730,       279,           0,        714
 280,         19673,           19398,          23052,         39060,             274,          16527,      3277,         842,       2218,      1919,           0,       1058,       280,           0,        704
 281,         19787,           19511,          30846,         39340,             275,          14946,      3381,         843,       2074,      1925,           0,       1163,       281,           0,        789
 282,         20023,           19746,          33118,         39621,             276,          14339,      3484,         836,       1960,      1947,           0,       1224,       282,           0,        727
 283,         20118,           19840,          19877,         39903,             276,          12985,      3581,         838,       2003,      1948,           0,       1037,       283,           0,        674
 284,         20314,           20035,          20196,         40186,             277,          12657,      3473,         881,       1861,      1956,           0,       1053,       284,           0,        675
 285,         20320,           20040,          20442,         40470,             278,          13109,      3500,         864,       1943,      1965,           0,       1051,       285,           0,        674
 286,         20573,           20292,          22445,         40755,             278,          12970,      3520,         862,       1868,      1975,           0,       1109,       286,           0,        671
 287,         20582,           20300,          20351,         41041,             284,          12675,      3502,         854,       1850,      1989,           0,       1046,       287,           0,        671
 288,         20603,           20320,          19881,         41328,             282,          12697,      3588,         856,       1845,      1992,           0,       1031,       288,           0,        695
 289,         20724,           20440,          19915,         41616,             284,          13127,      3469,         882,       1813,      2001,           0,       1027,       289,           0,        659
 290,         20929,           20644,          19817,         41905,             282,          12942,      3439,         876,       1984,      2013,           0,       1156,       290,           0,        836
 291,         21152,           20866,          21393,         42195,             286,          13543,      3517,         848,       1867,      2019,           0,       1059,       291,           0,        685
 292,         21410,           21123,          20955,         42486,             287,          13035,      3628,         875,       1889,      2032,           0,       1021,       292,           0,        648
 293,         21682,           21394,          20503,         42778,             286,          13001,      3985,         886,       2054,      2036,           0,       1042,       293,           0,        703
 294,         21843,           21554,          22438,         43071,             290,          13269,      3712,         880,       2052,      2045,           0,       1078,       294,           0,        696
 295,         21889,           21599,          21183,         43365,             291,          13340,      3572,         911,       1904,      2067,           0,       1058,       295,           0,        679
 296,         22050,           21759,          21354,         43660,             287,          13656,      3441,         895,       1876,      2050,           0,       1182,       296,           0,        771
 297,         22113,           21821,          21449,         43956,             287,          13297,      3696,         909,       1842,      2061,           0,       1036,       297,           0,        654
 298,         22281,           21988,          24263,         44253,             294,          13819,      3697,         916,       1946,      2070,           0,       1087,       298,           0,        689
 299,         22519,           22225,          25179,         44551,             291,          15159,      3851,         917,       2174,      2082,           0,       1134,       299,           0,        816
 300,         22660,           22365,          22375,         44850,             299,          14021,      3857,         915,       2029,      2096,           0,       1161,       300,           0,        690
 301,         22837,           22541,          21976,         45150,             297,          13888,      3624,         891,       1865,      2099,           0,       1077,       301,           0,        678
 302,         23000,           22703,          22093,         45451,             297,          13729,      3646,         939,       1848,      2105,           0,       1056,       302,           0,        738
 303,         23234,           22936,          21956,         45753,             298,          13933,      3680,         948,       2251,      2111,           0,       1080,       303,           0,        693
 304,         23500,           23201,          22435,         46056,             295,          14193,      3740,         911,       1918,      2118,           0,       1090,       304,           0,        689
 305,         23716,           23416,          24347,         46360,             300,          14554,      3788,         912,       1995,      2124,           0,       1133,       305,           0,        732
 306,         23835,           23534,          24494,         46665,             302,          15684,      3743,         902,       2035,      2146,           0,       1137,       306,           0,        748
 307,         23868,           23566,          25062,         46971,             304,          15030,      3944,         920,       2315,      2147,           0,       1140,       307,           0,        724
 308,         23956,           23653,          23597,         47278,             299,          15196,      3872,         941,       2099,      2166,           0,       1138,       308,           0,        723
 309,         24159,           23855,          23583,         47586,             303,          14784,      3849,         929,       2068,      2171,           0,       1086,       309,           0,        689
 310,         24283,           23978,          23676,         47895,             308,          15008,      3664,         956,       1944,      2167,           0,       1114,       310,           0,        709
 311,         24463,           24157,          23236,         48205,             305,          15093,      3999,         939,       2073,      2182,           0,       1255,       311,           0,        689
 312,         24640,           24333,          23273,         48516,             307,          14633,      4005,         941,       2001,      2195,           0,       1167,       312,           0,        683
 313,         24713,           24405,          23547,         48828,             311,          14682,      3904,         963,       2077,      2207,           0,       1411,       313,           0,        688
 314,         24913,           24604,          23324,         49141,             310,          14882,      3883,         940,       1944,      2211,           0,       1100,       314,           0,        689
 315,         25215,           24905,          24023,         49455,             307,          16044,      3992,         971,       2161,      2222,           0,       1152,       315,           0,        739
 316,         25412,           25101,          25118,         49770,             309,          15224,      3762,         985,       1963,      2231,           0,       1178,       316,           0,       1010
 317,         25450,           25138,          28379,         50086,             310,          16441,      3931,         942,       2116,      2235,           0,       1528,       317,           0,       1355
 318,         25563,           25250,          26456,         50403,             314,          15602,      4021,         964,       2060,      2247,           0,       1148,       318,           0,        739
 319,         25664,           25350,          24617,         50721,             314,          16748,      3919,         986,       2104,      2262,           0,       1186,       319,           0,        761
 320,         25723,           25408,          26047,         51040,             310,          17076,      4154,         988,       2280,      2264,           0,       1244,       320,           0,        787
 321,         25726,           25410,          25729,         51360,             310,          16330,      3887,         982,       2028,      2273,           0,       1158,       321,           0,        741
 322,         25838,           25521,          25959,         51681,             315,          16326,      3933,         985,       2098,      2284,           0,       1196,       322,           0,        763
 323,         26112,           25794,          25300,         52003,             316,          15740,      4074,         940,       2034,      2293,           0,       1139,       323,           0,        788
 324,         26117,           25798,          25214,         52326,             318,          16457,      3940,         998,       2095,      2307,           0,       1176,       324,           0,        740
 325,         26323,           26003,          24977,         52650,             319,          16045,      3872,         987,       1985,      2320,           0,       1225,       325,           0,        722
 326,         26505,           26184,          25523,         52975,             322,          17874,      3946,        1010,       2245,      2323,           0,       1232,       326,           0,        872
 327,         26575,           26253,          26827,         53301,             325,          16681,      4176,        1013,       2195,      2328,           0,       1229,       327,           0,        758
 328,         26701,           26378,          26508,         53628,             320,          17956,      4029,        1004,       2311,      2335,           0,       1393,       328,           0,        812
 329,         26782,           26458,          26618,         53956,             322,          18077,      4008,        1010,       2151,      2344,           0,       1225,       329,           0,        779
 330,         26802,           26477,          26747,         54285,             323,          17713,      4264,         997,       2289,      2345,           0,       1372,       330,           0,        821
 331,         27120,           26794,          27529,         54615,             328,          17138,      4277,        1010,       2317,      2360,           0,       1233,       331,           0,        788
 332,         27125,           26798,          26319,         54946,             328,          16557,      4541,        1010,       2264,      2350,           0,       1210,       332,           0,        947
 333,         27374,           27046,          27188,         55278,             328,          19506,      4174,        1024,       2264,      2363,           0,       1248,       333,           0,        795
 334,         27404,           27075,          26635,         55611,             331,          17100,      4167,        1010,       2186,      2384,           0,       1257,       334,           0,       1074
 335,         27492,           27162,          26246,         55945,             328,          16909,      4305,        1009,       2195,      2390,           0,       1214,       335,           0,        824
 336,         27510,           27179,          26351,         56280,             331,          18733,      4208,        1006,       2193,      2409,           0,       1465,       336,           0,        831
 337,         27759,           27427,          27184,         56616,             327,          17618,      4207,        1007,       2537,      2421,           0,       1490,       337,           0,       1287
 338,         27898,           27565,          27748,         56953,             331,          18657,      4199,        1020,       2253,      2421,           0,       1627,       338,           0,        918
 339,         27964,           27630,          28518,         57291,             336,          18532,      4132,        1017,       2409,      2431,           0,       1298,       339,           0,       1057
 340,         28161,           27826,          31051,         57630,             330,          19507,      4187,        1043,       2270,      2437,           0,       1320,       340,           0,        859
 341,         28339,           28003,          28369,         57970,             337,          19056,      4206,        1046,       2273,      2439,           0,       1289,       341,           0,        839
 342,         28539,           28202,          28161,         58311,             336,          18412,      4235,        1037,       2240,      2440,           0,       1412,       342,           0,        799
 343,         28844,           28506,          28960,         58653,             332,          18361,      4446,        1065,       2338,      2460,           0,       1297,       343,           0,       1062
 344,         28864,           28525,          28743,         58996,             337,          18056,      4561,        1035,       2406,      2476,           0,       1255,       344,           0,        802
 345,         28870,           28530,          28166,         59340,             336,          18201,      4243,        1036,       2493,      2486,           0,       1264,       345,           0,        804
 346,         29148,           28807,          29887,         59685,             340,          19313,      4389,        1065,       2350,      2492,           0,       1306,       346,           0,        836
