   n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, radix_cmp, radix_swaps, radix_time
 781,          1166,             387,            780,              ,                ,               ,      8191,        1142,       3944,      3866,           0,       2416,       781,           0,       2786
 782,          1167,             387,            865,              ,                ,               ,      8262,        1136,       3939,      3869,           0,       2432,       782,           0,       2715
 783,          1168,             387,            820,              ,                ,               ,      8202,        1131,       4723,      3884,           0,       2580,       783,           0,       2943
 784,          1169,             387,            845,              ,                ,               ,      8307,        1134,       3868,      3884,           0,       2399,       784,           0,       2820
 785,          1170,             387,            803,              ,                ,               ,      8320,        1145,       4341,      3887,           0,       2582,       785,           0,       3620
 786,          1171,             387,            765,              ,                ,               ,      8420,        1143,       4104,      3887,           0,       2444,       786,           0,       3375
 787,          1172,             387,            763,              ,                ,               ,      8321,        1147,       3906,      3895,           0,       2515,       787,           0,       2812
 788,          1173,             387,            784,              ,                ,               ,      8343,        1140,       4076,      3904,           0,       2679,       788,           0,       2728
 789,          1175,             388,            764,              ,                ,               ,      8244,        1140,       3942,      3896,           0,       2443,       789,           0,       2704
 790,          1176,             388,            762,              ,                ,               ,      8226,        1138,       4206,      3914,           0,       2452,       790,           0,       2761
 791,          1178,             389,            954,              ,                ,               ,      8173,        1149,       3791,      3925,           0,       2623,       791,           0,       2668
 792,          1179,             389,            746,              ,                ,               ,      8190,        1153,       4002,      3908,           0,       2393,       792,           0,       2775
 793,          1180,             389,            805,              ,                ,               ,      8268,        1164,       4260,      3915,           0,       2456,       793,           0,       2731
 794,          1181,             389,            901,              ,                ,               ,      8353,        1158,       3956,      3947,           0,       2552,       794,           0,       2659
 795,          1182,             389,            751,              ,                ,               ,      8258,        1158,       3906,      3946,           0,       2440,       795,           0,       2837
 796,          1183,             389,            817,              ,                ,               ,      8306,        1159,       4041,      3934,           0,       2468,       796,           0,       2734
 797,          1184,             389,            771,              ,                ,               ,      8364,        1152,       4124,      3953,           0,       2493,       797,           0,       2730
 798,          1185,             389,            765,              ,                ,               ,      8380,        1158,       4028,      3954,           0,       2476,       798,           0,       2725
 799,          1186,             389,            935,              ,                ,               ,      8406,        1152,       3954,      3951,           0,       2515,       799,           0,       2770
 800,          1188,             390,            766,              ,                ,               ,      8418,        1161,       4038,      3971,           0,       2539,       800,           0,       2706
 801,          1189,             390,            881,              ,                ,               ,      8407,        1165,       4063,      3974,           0,       2487,       801,           0,       3295
 802,          1190,             390,            949,              ,                ,               ,      8324,        1163,       3924,      3979,           0,       2497,       802,           0,       3210
 803,          1191,             390,            985,              ,                ,               ,      8317,        1172,       4634,      3978,           0,       2576,       803,           0,       2873
 804,          1192,             390,            795,              ,                ,               ,      8332,        1170,       4265,      3974,           0,       2592,       804,           0,       2994
 805,          1193,             390,            804,              ,                ,               ,      8575,        1174,       4177,      3983,           0,       2575,       805,           0,       2950
 806,          1194,             390,            776,              ,                ,               ,      8535,        1174,       4057,      3985,           0,       2499,       806,           0,       2763
 807,          1195,             390,            773,              ,                ,               ,      8752,        1168,       4449,      3996,           0,       2510,       807,           0,       2762
 808,          1196,             390,            775,              ,                ,               ,      8759,        1166,       4260,      4007,           0,       2576,       808,           0,       2756
 809,          1197,             390,            778,              ,                ,               ,      8342,        1166,       4007,      4006,           0,       2518,       809,           0,       2796
 810,          1198,             390,            752,              ,                ,               ,      8517,        1165,       4217,      4011,           0,       2487,       810,           0,       3046
 811,          1200,             391,            783,              ,                ,               ,      8521,        1179,       4007,      4020,           0,       2621,       811,           0,       2688
 812,          1202,             392,            760,              ,                ,               ,      8538,        1182,       4020,      4029,           0,       2851,       812,           0,       2826
 813,          1203,             392,            934,              ,                ,               ,      8522,        1172,       3944,      4036,           0,       2569,       813,           0,       2858
 814,          1204,             392,            887,              ,                ,               ,      8562,        1174,       4116,      4050,           0,       2533,       814,           0,       2836
 815,          1206,             393,            783,              ,                ,               ,      8462,        1186,       4066,      4050,           0,       2540,       815,           0,       3147
 816,          1208,             394,            765,              ,                ,               ,      8459,        1190,       3876,      4048,           0,       2579,       816,           0,       2769
 817,          1210,             395,            764,              ,                ,               ,      8481,        1186,       4161,      4051,           0,       2480,       817,           0,       2817
 818,          1215,             399,            843,              ,                ,               ,      8549,        1190,       3914,      4062,           0,       2554,       818,           0,       3121
 819,          1216,             399,            772,              ,                ,               ,      8546,        1204,       3928,      4056,           0,       2516,       819,           0,       2805
 820,          1217,             399,            772,              ,                ,               ,      8565,        1204,       4115,      4057,           0,       2485,       820,           0,       2855
 821,          1218,             399,            772,              ,                ,               ,      8639,        1196,       3959,      4072,           0,       2565,       821,           0,       3005
 822,          1219,             399,            770,              ,                ,               ,      8661,        1198,       4144,      4087,           0,       2573,       822,           0,       2954
 823,          1220,             399,            771,              ,                ,               ,      9033,        1187,       4129,      4081,           0,       2571,       823,           0,       2770
 824,          1221,             399,            770,              ,                ,               ,      9048,        1189,       4620,      4086,           0,       2563,       824,           0,       2840
 825,          1222,             399,            793,              ,                ,               ,      8647,        1203,       4152,      4092,           0,       2697,       825,           0,       2791
 826,          1223,             399,            777,              ,                ,               ,      8599,        1215,       4253,      4100,           0,       2508,       826,           0,       2849
